,0.5,1.0,2.0,3.0,5.0,10.0,15.0,50.0,100.0
5.0,2.9683872621433998,4.574150885354222,6.179914508565044,7.1192260131655125,8.302618555835556,9.908382179046379,10.847693683646845,13.63684984952771,15.242613472738537
10.0,5.396191975189499,7.575866404594714,9.755540833999929,11.030568638982764,12.636913699938264,14.81658812934348,16.091615934326313,19.87763542468703,22.057309854092246
15.0,7.090759138269143,9.697044777699137,12.303330417129132,13.827909782363738,15.748652627193113,18.35493826662311,19.879517631857716,24.406546116117084,27.01283175554708
20.0,8.316873042351222,11.275577891264835,14.234282740178447,15.965014127494765,18.14547780443682,21.104182653350435,22.83491404066675,27.974082566522416,30.93278741543603
30.0,9.930169383497045,13.46795918137051,17.005748979243975,19.07522334643383,21.68245270685879,25.22024250473226,27.289716871922113,33.43473603022054,36.97252582809401
45.0,11.243513869809368,15.47372853908712,19.70394320836487,22.178460159892904,25.295982827087784,29.526197496365533,32.00071444789357,39.3484517843662,43.57866645364395
60.0,11.916456336269025,16.71867619451713,21.520896052765234,24.33001459005884,27.86908540120941,32.67130525945751,35.480423796751126,43.82171446614979,48.6239343243979
90.0,13.677631337636509,18.685857893161305,23.6940844486861,26.62370917878399,30.314599837995296,35.32282639352009,38.25245112361797,46.95156833835408,51.95979489387888
180.0,17.21856742153679,22.59963873322729,27.980710044917792,31.12843497596314,35.094099392433854,40.47517070412435,43.6228956351697,52.96963136333092,58.350702675021424
270.0,19.646886328282847,25.258796035851397,30.870705743419947,34.153462479780586,38.289246851825936,43.901156559394494,47.183913295755126,56.93160737536904,62.54351708293759
360.0,21.5514937734121,27.33316681485148,33.114839856290864,36.496901776963334,40.75779588522244,46.539468926661826,49.921530847334296,59.96409799703279,65.74577103847217
450.0,23.141907629576373,29.058787955490846,34.97566828140532,38.43682139332006,42.79735861831796,48.71423894423243,52.17539205614717,62.452809607059535,68.36968993297401
600.0,25.34936270303971,31.44523189060448,37.54110107816925,41.10695596219618,45.599401819969316,51.69527100753409,55.26112589156102,65.84944093689893,71.9453101244637
720.0,26.84604126864373,33.05813942193978,39.270237575235825,42.90408204571315,47.48218465227577,53.69428280557182,57.328127276049145,68.11832803590781,74.33042618920385
1080.0,30.175471964261916,36.61500661354568,43.054541262829446,46.821427554755005,51.56714303371829,58.00667768300205,61.77356397492761,72.95881410317466,79.39834875245842
1440.0,32.10390315542481,39.12522734771483,46.14655154000484,50.253762897900764,55.42823725310534,62.449561445395354,66.55677280329127,78.75257135078587,85.77389554307588
2880.0,36.21687805085061,46.64321721217384,57.069556373497065,63.168573802671624,70.85242703767457,81.2787661989978,87.37778362817237,105.48797602449855,115.91431518582178
4320.0,39.24363014733653,51.238516590136086,63.23340303293564,70.24996180238197,79.08978041665591,91.08466685945548,98.1012256289018,118.93593068597531,130.9308171287749
5760.0,40.673574955580534,53.61954318520265,66.56551141482477,74.13841736468116,83.67915053308144,96.62511876270358,104.19802471255996,126.68472611058235,139.63069434020449
7200.0,42.0333523658879,55.568497215667996,69.1036420654481,77.02119424439854,86.99613031074239,100.5312751605225,108.44882733947293,131.9589082555969,145.494053105377
8640.0,43.5069167146208,57.77200828574673,72.03709985687266,80.38164349533477,90.89452518088493,105.15961675201086,113.50416039047298,138.28213364714907,152.547225218275
