duration,calculation method,1,2,3,5,10,20,25,30,50,75,100
4320,MaxModN,79.9,108.1,124.6,145.4,173.6,201.8,210.8,218.3,239.0,255.6,263.8
4320,Bemessung,74.0,94.7,106.9,122.0,142.8,163.3,169.7,175.5,190.8,202.9,209.5
4320,ÖKOSTRA,68.1,81.2,89.2,98.6,112.0,124.8,128.6,132.6,142.5,150.1,155.2
5760,MaxModN,86.1,114.3,131.5,153.2,182.7,212.1,221.6,229.4,251.0,268.2,280.4
5760,Bemessung,80.0,101.1,113.7,130.0,151.6,173.6,180.4,186.4,202.0,215.3,224.0
5760,ÖKOSTRA,73.8,87.8,95.9,106.7,120.4,135.0,139.2,143.4,153.0,162.3,167.5
7200,MaxModN,91.0,119.1,136.9,159.3,189.7,220.1,229.9,237.8,260.2,278.0,290.6
7200,Bemessung,84.7,106.4,119.6,136.1,159.0,181.4,189.1,194.7,211.6,224.8,233.8
7200,ÖKOSTRA,78.3,93.6,102.2,112.9,128.3,142.7,148.2,151.6,162.9,171.5,177.0
8640,MaxModN,96.4,123.1,141.3,164.3,195.4,226.6,236.6,244.9,267.8,286.1,299.0
8640,Bemessung,89.6,110.8,124.4,141.8,164.9,188.6,195.9,201.9,219.2,232.9,242.9
8640,ÖKOSTRA,82.8,98.4,107.4,119.2,134.4,150.6,155.2,158.8,170.6,179.6,186.8
